DULICA	ULICA	PSC	DPOSTA	POSTA	POZNAMKA	OBCE
Nová	Nová	974 04	Banská Bystrica 4	Banská Bystrica 4		Banská Bystrica
Nové Kalištie	Nové Kalište	974 04	Banská Bystrica 4	Banská Bystrica 4		Banská Bystrica
Nový Svet	Nový Svet	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Oblačná	Oblačná	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Odbojárov	Odbojárov	974 11	Banská Bystrica 11	Banská Bystrica 11		Banská Bystrica
Okružná	Okružná	974 04	Banská Bystrica 4	Banská Bystrica 4		Banská Bystrica
Opálová	Opálová	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Oremburská	Oremburská	974 04	Banská Bystrica 4	Banská Bystrica 4		Banská Bystrica
Ortutská cesta	Ortutská cesta	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Ovčiarska ulica	Ovčiarska ulica	976 34	Tajov	Tajov		Banská Bystrica
Ovocná	Ovocná	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Partizánska cesta	Partizánska cesta	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Pestovateľská	Pestovateľská	974 09	Banská Bystrica 9	Banská Bystrica 1		Banská Bystrica
Petelenova	Petelenova	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Petra Karvaša	Petra Karvaša	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Pieninská	Pieninská	974 11	Banská Bystrica 11	Banská Bystrica 11		Banská Bystrica
Platinová ulica	Platinová ulica	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Pod Banošom	Pod Banošom	974 11	Banská Bystrica 11	Banská Bystrica 11		Banská Bystrica
Pod cintorínom	Pod cintorínom	974 11	Banská Bystrica 11	Banská Bystrica 11		Banská Bystrica
Pod Dúbravou	Pod Dúbravou	974 09	Banská Bystrica 9	Banská Bystrica 9		Banská Bystrica
Pod Hôrkou	Pod Hôrkou	974 11	Banská Bystrica 11	Banská Bystrica 11		Banská Bystrica
Pod Jesenským vŕškom	Pod Jesenským vŕškom	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Pod Kalváriou	Pod Kalváriou	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Pod rybou	Pod rybou	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Pod Skalkou	Pod Skalkou	974 11	Banská Bystrica 11	Banská Bystrica 11		Banská Bystrica
Pod Stráňou	Pod Stráňou	974 09	Banská Bystrica 9	Banská Bystrica 9		Banská Bystrica
Pod Suchým vrchom	Pod Suchým vrchom	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Pod Turíčkou	Pod Turíčkou	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Pod Urpínom	Pod Urpínom	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Pod vysielačom	Pod vysielačom	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Podháj	Podháj	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Podjavorinskej	Podjavorinskej	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Podlavická cesta	Podlavická cesta	974 09	Banská Bystrica 9	Banská Bystrica 9		Banská Bystrica
Poľná	Poľná	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Poľovnícka	Poľovnícka	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Ponická ulica	Ponická ulica	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Povstalecká cesta	Povstalecká	974 09	Banská Bystrica 9	Banská Bystrica 9		Banská Bystrica
Priehrada	Priehrada	974 09	Banská Bystrica 9	Banská Bystrica 9		Banská Bystrica
Priemyselná ulica	Priemyselná	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Profesora Sáru	Profesora Sáru	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Pršianska cesta	Pršianska cesta	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Radomská	Radomská	974 04	Banská Bystrica 4	Banská Bystrica 4		Banská Bystrica
Radvaň	Radvaň	976 34	Tajov	Tajov	súpisné číslo 14958	Banská Bystrica
Radvanská	Radvanská	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Rakytovská cesta	Rakytovská cesta	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
richtára Ondreja	richtára Ondreja	974 11	Banská Bystrica 11	Banská Bystrica 11		Banská Bystrica
Robotnícka	Robotnícka	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Rubínová	Rubínová	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Rudelinova ulica	Rudelinova	974 11	Banská Bystrica 11	Banská Bystrica 11		Banská Bystrica
Rudlovská cesta	Rudlovská cesta	974 01	Banská Bystrica 1	Banská Bystrica 1	čísla 1-56,58, 87	Banská Bystrica
Rudlovská cesta	Rudlovská cesta	974 11	Banská Bystrica 11	Banská Bystrica 11	ostatné čísla	Banská Bystrica
Rudohorská	Rudohorská	974 11	Banská Bystrica 11	Banská Bystrica 11		Banská Bystrica
Rumelková ulica	Rumelková	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Ruttkaya Nedeckého	Ruttkaya Nedeckého	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Ružová	Ružová	974 11	Banská Bystrica 11	Banská Bystrica 11		Banská Bystrica
Sadová	Sadová	974 04	Banská Bystrica 4	Banská Bystrica 4		Banská Bystrica
Sásovská cesta	Sásovská cesta	974 11	Banská Bystrica 11	Banská Bystrica 11		Banská Bystrica
Senická cesta	Senická cesta	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Severná	Severná	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Sitnianska	Sitnianska	974 11	Banská Bystrica 11	Banská Bystrica 11		Banská Bystrica
Skubínska cesta	Skubínska cesta	974 09	Banská Bystrica 9	Banská Bystrica 9		Banská Bystrica
Skuteckého	Skuteckého	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Sládkovičova	Sládkovičova	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Slnečná	Slnečná	974 04	Banská Bystrica 4	Banská Bystrica 4		Banská Bystrica
Slnečné stráne	Slnečné stráne	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Smaragdová	Smaragdová	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Smreková	Smreková	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Sokolovská	Sokolovská	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Spojová	Spojová	974 04	Banská Bystrica 4	Banská Bystrica 4		Banská Bystrica
Starohorská	Starohorská	974 11	Banská Bystrica 11	Banská Bystrica 11		Banská Bystrica
Stavebná	Stavebná	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Stoličková	Stoličková	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Stránska	Stránska	974 11	Banská Bystrica 11	Banská Bystrica 11		Banská Bystrica
Strážovská	Strážovská	974 11	Banská Bystrica 11	Banská Bystrica 11		Banská Bystrica
Stredná	Stredná	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Strieborné námestie	Strieborné nám.	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Strmá	Strmá	974 11	Banská Bystrica 11	Banská Bystrica 11		Banská Bystrica
Stromová	Stromová	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Stupy	Stupy	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Surovská	Surovská	974 11	Banská Bystrica 11	Banská Bystrica 11		Banská Bystrica
Svetozára Stračinu	Svetozára Stračinu	974 11	Banská Bystrica 11	Banská Bystrica 11		Banská Bystrica
Šalgotarjánska	Šalgotarjánska	974 04	Banská Bystrica 4	Banská Bystrica 4		Banská Bystrica
Šalkovská cesta	Šalkovská cesta	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Šimona Jurovského	Šimona Jurovského	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Šípková	Šípková	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Školská	Školská	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Šoltésovej	Šoltésovej	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Štadlerovo nábrežie	Štadlerovo nábr.	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Štefánikovo nábrežie	Štefánikovo nábr.	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Švermova	Švermova	974 04	Banská Bystrica 4	Banská Bystrica 4		Banská Bystrica
Tafírová	Tafírová	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Tajovského	Tajovského	974 01	Banská Bystrica 1	Banská Bystrica 1	"1-20; párne č. 22-26"	Banská Bystrica
Tajovského	Tajovského	974 09	Banská Bystrica 9	Banská Bystrica 9	25,28,29-59	Banská Bystrica
Tatranská	Tatranská	974 11	Banská Bystrica 11	Banská Bystrica 11		Banská Bystrica
Technická ulica	Technická	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Terézie Vansovej	T. Vansovej	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Tibora Andrašovana	Tibora Andrašovana	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Tichá	Tichá	974 04	Banská Bystrica 4	Banská Bystrica 4		Banská Bystrica
Timravy	Timravy	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Topásová	Topásová	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Topoľová	Topoľová	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Trieda Hradca Králové	Tr. Hradca Králové	974 04	Banská Bystrica 4	Banská Bystrica 4		Banská Bystrica
Trieda SNP	Tr. SNP	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Trnková	Trnková	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Tulipánová	Tulipánová	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Tulská	Tulská	974 04	Banská Bystrica 4	Banská Bystrica 4		Banská Bystrica
Tyrkysová	Tyrkysová	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Uľanská cesta	Uľanská cesta	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Ulička	Ulička	974 09	Banská Bystrica 9	Banská Bystrica 9		Banská Bystrica
Vajanského námestie	Vajanského nám.	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Veterná	Veterná	974 11	Banská Bystrica 11	Banská Bystrica 11		Banská Bystrica
Viestova	Viestova	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Višňová	Višňová	974 09	Banská Bystrica 9	Banská Bystrica 9		Banská Bystrica
Vŕbová	Vŕbová	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Vršacká ulica	Vršacká	974 04	Banská Bystrica 4	Banská Bystrica 4		Banská Bystrica
Wolkerova	Wolkerova	974 04	Banská Bystrica 4	Banská Bystrica 4		Banská Bystrica
Zadarská ulica	Zadarská	974 04	Banská Bystrica 4	Banská Bystrica 4		Banská Bystrica
Zafírová ulica	Zafírová ulica	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Záhradná	Záhradná	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Záhumnie	Záhumnie	974 09	Banská Bystrica 9	Banská Bystrica 9		Banská Bystrica
Závoz	Závoz	974 09	Banská Bystrica 9	Banská Bystrica 9		Banská Bystrica
Zdenka Mikulu	Zdenka Mikulu	974 11	Banská Bystrica 11	Banská Bystrica 11		Banská Bystrica
Zelená	Zelená	974 04	Banská Bystrica 4	Banská Bystrica 4		Banská Bystrica
Zimná	Zimná	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Zlatá	Zlatá	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Zvolenská cesta	Zvolenská cesta	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Zvončeková	Zvončeková	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Železná ulica	Železná	974 05	Banská Bystrica 5	Banská Bystrica 5		Banská Bystrica
Železničiarska	Železničiarska	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
Žltý Piesok	Žltý Piesok	974 01	Banská Bystrica 1	Banská Bystrica 1		Banská Bystrica
1. mája	1. mája	841 07	Bratislava 49	Bratislava 49		Bratislava
29. augusta	29. augusta	811 08	Bratislava 1	Bratislava 1	čísla 7, 8, 10, 18, 20	Bratislava
29. augusta	29. augusta	811 07	Bratislava 1	Bratislava 1	"nepár.č. 1-5; pár. č. 2-6"	Bratislava
29. augusta	29. augusta	811 09	Bratislava 1	Bratislava 1	"nepár.č. 9-23, 11/B,C, 15/E,F;"	Bratislava
29. augusta	29. augusta	811 09	Bratislava 1	Bratislava 1	párne č. 28-38, 32/A,B, 28/C,D, 38/A-C	Bratislava
8. mája	8. mája	821 06	Bratislava 214	Bratislava 214		Bratislava
Adámiho	Adámiho	841 05	Bratislava 4	Bratislava 4		Bratislava
Adlerova	Adlerova				pozri Karola Adlera	Bratislava
Agátová	Agátová	841 01	Bratislava 42	Bratislava 42		Bratislava
Ágosta Sőtéra	Ágosta Sőtéra	851 10	Bratislava 59	Bratislava 59		Bratislava
Ahoj	Ahoj	831 02	Bratislava 3	Bratislava 3		Bratislava
Albánska	Albánska	831 06	Bratislava 35	Bratislava 35		Bratislava
Albína Brunovského	Albína Brunovského	841 05	Bratislava 4	Bratislava 4		Bratislava
Albrechtova	Albrechtova	821 03	Bratislava 2	Bratislava 2		Bratislava
Alejová	Alejová	821 09	Bratislava 2	Bratislava 2		Bratislava
Alešova	Alešova	821 09	Bratislava 2	Bratislava 2		Bratislava
Alexandra Dubčeka	Alexandra Dubčeka				pozri Námestie Alexandra Dubčeka	Bratislava
Alexyho	Alexyho				pozri Janka Alexyho	Bratislava
Alibernetová	Alibernetová	831 02	Bratislava 3	Bratislava 3		Bratislava
Alstrova	Alstrova	831 06	Bratislava 35	Bratislava 35		Bratislava
Alviano	Alviano	831 07	Bratislava 36	Bratislava 36	13	Bratislava
Alžbetínska	Alžbetínska	811 09	Bratislava 1	Bratislava 1		Bratislava
Alžbety Gwerkovej	A. Gwerkovej	851 04	Bratislava 5	Bratislava 5		Bratislava
Amarelková	Amarelková	821 07	Bratislava 214	Bratislava 214		Bratislava
Ambroseho	Ambroseho	851 02	Bratislava 5	Bratislava 5		Bratislava
Ambrova	Ambrova	831 01	Bratislava 37	Bratislava 37		Bratislava
Ambrušova	Ambrušova	821 04	Bratislava 2	Bratislava 2		Bratislava
Americká	Americká	831 02	Bratislava 3	Bratislava 3		Bratislava
Americké námestie	Americké námestie	811 07	Bratislava 1	Bratislava 1	číslo 1	Bratislava
Americké námestie	Americké námestie	811 08	Bratislava 1	Bratislava 1	číslo 3	Bratislava
Amurská	Amurská	821 06	Bratislava 214	Bratislava 214		Bratislava
Andreja Hlinku	Andreja Hlinku				pozri Námestie Andreja Hlinku	Bratislava
Andreja Mráza	Andreja Mráza	821 03	Bratislava 2	Bratislava 2		Bratislava
Andreja Plávku	Andreja Plávku	811 06	Bratislava 1	Bratislava 1		Bratislava
Andrusovova	Andrusovova	851 01	Bratislava 5	Bratislava 5		Bratislava
Anenská	Anenská	811 05	Bratislava 1	Bratislava 1	čísla 1, 3	Bratislava
Anenská	Anenská	811 07	Bratislava 1	Bratislava 1	číslo 4	Bratislava
Anízová	Anízová	821 07	Bratislava 214	Bratislava 214		Bratislava
Antická	Antická	851 10	Bratislava 59	Bratislava 59		Bratislava
Antolská	Antolská	851 07	Bratislava 5	Bratislava 5		Bratislava
Antona Floreka	Antona Floreka	841 06	Bratislava 48	Bratislava 48		Bratislava
Arménska	Arménska	821 06	Bratislava 214	Bratislava 214		Bratislava
Astronomická	Astronomická	821 02	Bratislava 2	Bratislava 2		Bratislava
Astrová	Astrová	821 01	Bratislava 2	Bratislava 2		Bratislava
Attidova	Attidova	851 10	Bratislava 59	Bratislava 59		Bratislava
Augustína Murína	Augustína Murína	831 53	Bratislava 35	Bratislava 35		Bratislava
Auréliova	Auréliova	851 10	Bratislava 59	Bratislava 59		Bratislava
Avarská	Avarská	841 10	Bratislava 49	Bratislava 49		Bratislava
Azalková	Azalková	821 01	Bratislava 2	Bratislava 2		Bratislava
Azovská	Azovská	821 08	Bratislava 2	Bratislava 2		Bratislava
Azúrová	Azúrová	851 07	Bratislava 5	Bratislava 5		Bratislava
Babuškova	Babuškova	821 03	Bratislava 2	Bratislava 2		Bratislava
Bagarova	Bagarova	841 01	Bratislava 42	Bratislava 42		Bratislava
Báger	Báger	830 06	Bratislava 36	Bratislava 36		Bratislava
Bahniatková	Bahniatková	821 07	Bratislava 214	Bratislava 214		Bratislava
Bachova	Bachova	821 03	Bratislava 2	Bratislava 2		Bratislava
Bajkalská	Bajkalská	821 02	Bratislava 2	Bratislava 2	nepár. č. 11-19, 13/A, 19/A	Bratislava
Bajkalská	Bajkalská	821 01	Bratislava 2	Bratislava 2	nepár. č. 21-25, 23/A,B, 25/A, 29/A,B,C,D,E,F	Bratislava
Bajkalská	Bajkalská	821 05	Bratislava 2	Bratislava 2	nepár. čísla 27-43, číslo 30	Bratislava
Bajkalská	Bajkalská	821 08	Bratislava 2	Bratislava 2	párne čísla 2,2/A, 4, 10, 12/A,B,C, 18,18/A,2	Bratislava
Bajkalská	Bajkalská	821 09	Bratislava 2	Bratislava 2	párne čísla 22-28, 22/A	Bratislava
Bajkalská	Bajkalská	831 04	Bratislava 3	Bratislava 3	nepárne čísla 1-9, 9/A,B, 5/A,B,C	Bratislava
Bajzova	Bajzova	821 08	Bratislava 2	Bratislava 2		Bratislava
Bakošova	Bakošova	841 03	Bratislava 42	Bratislava 42		Bratislava
Balkánska	Balkánska	851 10	Bratislava 59	Bratislava 59		Bratislava
Baltská	Baltská	821 07	Bratislava 214	Bratislava 214		Bratislava
Bancíkovej	Bancíkovej	821 03	Bratislava 2	Bratislava 2		Bratislava
Banícka	Banícka	811 04	Bratislava 1	Bratislava 1		Bratislava
Baničova	Baničova	831 07	Bratislava 36	Bratislava 36		Bratislava
Baníkova	Baníkova	841 04	Bratislava 4	Bratislava 4		Bratislava
Banskobystrická	Banskobystrická	811 06	Bratislava 1	Bratislava 1		Bratislava
Banšelova	Banšelova	821 04	Bratislava 2	Bratislava 2		Bratislava
Barancová	Barancová	841 06	Bratislava 48	Bratislava 48		Bratislava
Bardejovská	Bardejovská	831 02	Bratislava 3	Bratislava 3		Bratislava
Bárdošova	Bárdošova	831 01	Bratislava 37	Bratislava 37		Bratislava
Barónka	Barónka	831 06	Bratislava 35	Bratislava 35		Bratislava
Bartókova	Bartókova	811 02	Bratislava 1	Bratislava 1		Bratislava
Bartoňova	Bartoňova	811 03	Bratislava 1	Bratislava 1		Bratislava
Bartoškova	Bartoškova	831 04	Bratislava 3	Bratislava 3		Bratislava
Baštová	Baštová	811 03	Bratislava 1	Bratislava 1		Bratislava
Batkova	Batkova	841 01	Bratislava 42	Bratislava 42		Bratislava
Bazalková	Bazalková	821 07	Bratislava 214	Bratislava 214		Bratislava
Bazová	Bazová	821 08	Bratislava 2	Bratislava 2		Bratislava
Bazovského	Bazovského	841 01	Bratislava 42	Bratislava 42		Bratislava
Bažantia	Bažantia	821 05	Bratislava 2	Bratislava 2		Bratislava
Bažantnicová	Bažantnicová	851 10	Bratislava 59	Bratislava 59		Bratislava
Beblavého	Beblavého	811 01	Bratislava 1	Bratislava 1		Bratislava
Bebravská	Bebravská	821 07	Bratislava 214	Bratislava 214		Bratislava
Beckovská	Beckovská	821 04	Bratislava 2	Bratislava 2		Bratislava
Bedľová	Bedľová	841 04	Bratislava 4	Bratislava 4		Bratislava
Begóniová	Begóniová	821 07	Bratislava 214	Bratislava 214		Bratislava
Belániková	Belániková	841 04	Bratislava 4	Bratislava 4		Bratislava
Belehradská	Belehradská	831 04	Bratislava 3	Bratislava 3		Bratislava
Belianska	Belianska	831 01	Bratislava 37	Bratislava 37		Bratislava
Belinského	Belinského	851 01	Bratislava 5	Bratislava 5		Bratislava
Bellova	Bellova	831 01	Bratislava 37	Bratislava 37		Bratislava
Belopotockého	Belopotockého	811 05	Bratislava 1	Bratislava 1		Bratislava
Belova	Belova				pozri Mateja Bela	Bratislava
Beňadická	Beňadická	851 06	Bratislava 5	Bratislava 5		Bratislava
Bencúrova	Bencúrova	821 04	Bratislava 2	Bratislava 2		Bratislava
Bendovej	Bendovej				pozri Kristy Bendovej	Bratislava
Benediktiho	Benediktiho	811 05	Bratislava 1	Bratislava 1		Bratislava
Beniakova	Beniakova	841 05	Bratislava 4	Bratislava 4		Bratislava
Benkova	Benkova				pozri Námestie Martina Benku	Bratislava
Beňovského	Beňovského	841 01	Bratislava 42	Bratislava 42		Bratislava
Bernolákova	Bernolákova	811 07	Bratislava 1	Bratislava 1		Bratislava
Beskydská	Beskydská	811 05	Bratislava 1	Bratislava 1		Bratislava
Betliarska	Betliarska	851 07	Bratislava 5	Bratislava 5		Bratislava
Bezekova	Bezekova	841 02	Bratislava 42	Bratislava 42		Bratislava
Bezručova	Bezručova	811 09	Bratislava 1	Bratislava 1		Bratislava
Béžová	Béžová	851 07	Bratislava 5	Bratislava 5		Bratislava
Biela	Biela	811 01	Bratislava 1	Bratislava 1		Bratislava
Bielkova	Bielkova	821 04	Bratislava 2	Bratislava 2		Bratislava
Bieloruská	Bieloruská	821 06	Bratislava 214	Bratislava 214		Bratislava
Biely kríž	Biely kríž				pozri Námestie Biely kríž	Bratislava
Bilíkova	Bilíkova	841 01	Bratislava 42	Bratislava 42		Bratislava
Biskupická	Biskupická	821 06	Bratislava 214	Bratislava 214		Bratislava
Björnsonova	Björnsonova	811 05	Bratislava 1	Bratislava 1		Bratislava
Blagoevova	Blagoevova	851 04	Bratislava 5	Bratislava 5		Bratislava
Blatnická	Blatnická	831 02	Bratislava 3	Bratislava 3		Bratislava
Blatúchová	Blatúchová	821 07	Bratislava 214	Bratislava 214		Bratislava
Bleduľová	Bleduľová	841 08	Bratislava 49	Bratislava 49		Bratislava
Blumentálska	Blumentálska	811 07	Bratislava 1	Bratislava 1		Bratislava
Blyskáčová	Blyskáčová	841 05	Bratislava 4	Bratislava 4		Bratislava
Bobuľová	Bobuľová	831 01	Bratislava 37	Bratislava 37		Bratislava
Bočná	Bočná	821 04	Bratislava 2	Bratislava 2		Bratislava
Bodliaková	Bodliaková	821 07	Bratislava 214	Bratislava 214		Bratislava
Bodrocká	Bodrocká	821 07	Bratislava 214	Bratislava 214		Bratislava
Bodvianska	Bodvianska	821 07	Bratislava 214	Bratislava 214		Bratislava
Bohrova	Bohrova	851 01	Bratislava 5	Bratislava 5		Bratislava
Bohúňova	Bohúňova	811 04	Bratislava 1	Bratislava 1		Bratislava
Bojnická	Bojnická	831 04	Bratislava 3	Bratislava 3		Bratislava
